energy [eV],cross section [b]
1e-05,6211.54738
1.05658287e-05,6042.93563
1.11316574e-05,5887.34903
1.16974861e-05,5743.19257
1.26102615e-05,5531.43121
1.3304155e-05,5385.24976
1.43449953e-05,5186.19925
1.54643606e-05,4994.97497
1.67407758e-05,4800.77545
1.84426627e-05,4573.90579
2.00079709e-05,4391.343
2.1573279e-05,4229.02896
2.325668e-05,4073.09675
2.45364044e-05,3965.45483
2.6455991e-05,3818.88231
2.77357155e-05,3729.73939
2.93050818e-05,3628.49527
3.08744481e-05,3535.07217
3.24438145e-05,3448.51237
3.49754625e-05,3321.35867
3.69000258e-05,3233.5829
3.97868708e-05,3114.06145
4.28915105e-05,2999.23928
4.64317394e-05,2882.63055
5.11520446e-05,2746.40468
5.54935387e-05,2636.78319
5.98350328e-05,2539.3202
6.45040659e-05,2445.68917
6.98281767e-05,2350.60127
7.3377584e-05,2293.04348
7.91033662e-05,2208.4928
8.3456116e-05,2150.12638
8.99852407e-05,2070.65065
9.96759047e-05,1967.41734
0.000110351733,1869.8253
0.000122235699,1776.60342
0.000135327803,1688.47568
0.00014588767,1626.21539
0.000157929115,1562.98626
0.000173984374,1489.11991
0.000183828909,1448.69509
0.000193673444,1411.39298
0.000213362514,1344.68987
0.000225435177,1308.18525
0.00023750784,1274.5005
0.000249580503,1243.29033
0.00026905571,1197.44341
0.000283860796,1165.79461
0.000306068427,1122.69931
0.000339029457,1066.72137
0.000375341345,1013.80212
0.000404629891,976.41567
0.000438027699,938.447292
0.00048255811,894.091155
0.000523514893,858.397313
0.000564471676,826.662154
0.000608518396,796.174491
0.00064200279,775.128316
0.000692229383,746.470182
0.000725713777,729.040645
0.000766776745,709.244889
0.000807839712,690.978188
0.000889965646,658.313605
0.000940322456,640.437066
0.000990679265,623.941306
0.00109139288,594.443444
0.00115314702,578.299924
0.00121490116,563.403291
0.00133840944,536.764908
0.00145200601,515.328389
0.00156560258,496.269036
0.00168776931,477.958613
0.00178064067,465.318424
0.00191994772,448.106284
0.00201281908,437.637904
0.00212671016,425.748185
0.00224060124,414.776684
0.00246838339,395.156971
0.00260805161,384.419315
0.00274771982,374.510854
0.00302705625,356.791981
0.00319833577,347.094553
0.0033696153,338.145934
0.00371217435,322.143356
0.00402724256,309.265171
0.00434231077,297.814629
0.00468114893,286.813576
0.0049387343,279.218959
0.00532511237,268.876956
0.00558269774,262.58672
0.00589858279,255.442176
0.00621446784,248.849131
0.0065303529,242.740061
0.00703992784,233.765305
0.00742730762,227.569374
0.00800837729,219.131785
0.00863328509,211.024997
0.00934586911,202.791017
0.0102959812,193.170317
0.0111698454,185.427166
0.0120437096,178.541708
0.0129835015,171.925858
0.0140551487,165.205831
0.0154840116,157.35352
0.0163601414,153.055301
0.018112401,145.412553
0.0195257435,140.011636
0.0206001691,136.282518
0.0222118074,131.203556
0.0232862329,128.113925
0.0253,122.861229
0.0277424803,117.272649
0.030172457,112.398617
0.0334040902,106.757626
0.0360106703,102.770718
0.0379921971,100.017628
0.0409644872,96.2676046
0.0441610183,92.6636043
0.0478060313,89.0020146
0.05023604,86.784835
0.0536870365,83.8977548
0.05675,81.5583438
0.0606680166,78.8272391
0.0645860331,76.3477312
0.0682404961,74.2295922
0.0755494222,70.4627349
0.0836854682,66.8630031
0.0926486342,63.4588517
0.0998781704,61.0534738
0.10812203,58.6105932
0.113617936,57.1320052
0.124716921,54.45041
0.134258264,52.4172456
0.142134791,50.8964271
0.15020567,49.4649204
0.158470903,48.1150135
0.166736135,46.8681042
0.179133984,45.1648237
0.197700996,42.9266587
0.211783821,41.4346916
0.219677642,40.6641355
0.232107633,39.5348132
0.244537625,38.4969739
0.269397607,36.6540507
0.290687691,35.2817336
0.317143073,33.7919042
0.340700382,32.6324431
0.364558517,31.5929527
0.39161555,30.5539711
0.414872033,29.7636191
0.44266023,28.9275096
0.47878069,27.9939405
0.49817,27.5561238
0.534955,26.8335946
0.57174,26.2389937
0.590515829,25.9806815
0.609291658,25.751153
0.64531,25.3876742
0.682095,25.116033
0.733036769,24.8995909
0.7740575,24.8582742
0.8108425,24.923384
0.8476275,25.0884198
0.86602,25.2099812
0.902805,25.535531
0.93959,25.9785541
0.976375,26.5505954
1.01316,27.2665049
1.049945,28.1451702
1.08673,29.2105117
1.1051225,29.8223612
1.13284704,30.8570462
1.15114901,31.621767
1.16949625,32.4605874
1.18788875,33.3809731
1.20628125,34.3888575
1.22467375,35.4932646
1.24306625,36.7045189
1.26145875,38.0344713
1.27985125,39.4967729
1.30744,41.9735897
1.31663625,42.8841013
1.33502875,44.8488221
1.35342125,47.0264055
1.37032067,49.2400528
1.38101,50.7578342
1.3994025,53.608735
1.40859875,55.1594693
1.42699125,58.5440484
1.44538375,62.3573232
1.45458,64.4469487
1.46377625,66.6723215
1.47757063,70.290902
1.48676688,72.9098317
1.49596313,75.7116453
1.5097575,80.295316
