energy [eV],cross section [b]
1e-05,6850.24323
1.0599186e-05,6653.79923
1.14979649e-05,6388.44842
1.20971508e-05,6228.22495
1.27681416e-05,6062.36309
1.38823348e-05,5813.99227
1.53679257e-05,5525.83574
1.67491625e-05,5293.08597
1.76699871e-05,5153.32239
1.85908116e-05,5024.07583
2.01927464e-05,4820.67161
2.19050303e-05,4628.42455
2.36173142e-05,4457.48344
2.50324305e-05,4329.65587
2.64475468e-05,4212.23011
2.85702212e-05,4052.73146
3.10320628e-05,3888.65243
3.27863462e-05,3783.18702
3.62949131e-05,3595.68124
3.95570234e-05,3444.22904
4.17317636e-05,3353.2837
4.39065038e-05,3269.18186
4.63418588e-05,3182.12039
4.90378286e-05,3093.41024
5.30817832e-05,2973.24083
5.74488152e-05,2857.99841
6.24620021e-05,2740.9064
6.74751891e-05,2637.11905
7.32893977e-05,2530.35113
7.74325439e-05,2461.72367
8.36472634e-05,2368.50739
9.08549888e-05,2272.61411
9.59911411e-05,2210.97656
0.000106263446,2101.39175
0.000112630602,2041.1283
0.000118997759,1985.76867
0.000131732071,1887.34528
0.000143571873,1807.84661
0.000155411674,1737.61511
0.000168197374,1670.26304
0.000182874872,1601.8299
0.00019755237,1541.17243
0.000214575082,1478.77289
0.000226705294,1438.66413
0.000244900612,1384.18455
0.000258484475,1347.31988
0.000273521988,1309.75705
0.000288559502,1275.17002
0.000303597015,1243.18554
0.000320436582,1210.07543
0.000339078202,1176.33823
0.000357719822,1145.27374
0.000376361442,1116.54673
0.000397237022,1086.80871
0.00043190133,1042.27714
0.000466565639,1002.80531
0.000506768711,962.199723
0.000549741167,923.821202
0.000592713622,889.695793
0.00062822819,864.177098
0.000681500041,829.706959
0.000734771893,799.056758
0.000778798393,776.136763
0.000822824893,755.081716
0.000866851393,735.65168
0.000910877893,717.647824
0.000965456417,697.061788
0.00102003494,678.150765
0.00107461347,660.699253
0.00116302179,635.082065
0.00126451119,609.053391
0.00139983038,578.854758
0.00152564419,554.462269
0.00165145799,532.912876
0.00178732325,512.246656
0.00189130202,497.95851
0.00199528079,484.802149
0.00215124894,466.885814
0.00228014875,453.487962
0.00247349848,435.390167
0.00260239829,424.46218
0.0027467451,413.149442
0.0029864358,396.20873
0.00330602339,376.553714
0.00360316181,360.677425
0.00380125409,351.143644
0.00399934637,342.32709
0.00434396243,328.451507
0.00471231732,315.3366
0.0050806722,303.674795
0.00554899479,290.558973
0.00579878959,284.222284
0.00629837918,272.699007
0.00667576921,264.865821
0.00724185426,254.284726
0.0076192443,247.895538
0.0080418597,241.281414
0.00874362083,231.376896
0.00967930235,219.885647
0.0105492577,210.603913
0.0111292279,205.030382
0.0117091981,199.876317
0.0127181574,191.765231
0.0137966187,184.09945
0.01487508,177.283731
0.0157663739,172.18745
0.0166576678,167.506291
0.0179946086,161.148737
0.0195451698,154.609923
0.020650084,150.407867
0.0228599125,142.939393
0.0253,135.861449
0.0268194239,131.952859
0.0283388479,128.364558
0.0308858838,122.957972
0.0325839078,119.713825
0.0342819318,116.715764
0.0372359405,112.002106
0.0403934358,107.55336
0.043550931,103.604161
0.0468947434,99.8717836
0.0492594867,97.4692797
0.0539889735,93.1573365
0.0572239169,90.5291064
0.0620763322,86.9908268
0.0653112756,84.8621958
0.0689338856,82.66602
0.0729441622,80.4371728
0.0769544387,78.394135
0.0837608,75.2890546
0.0885345005,73.3435195
0.093308201,71.5616357
0.102855602,68.4131948
0.112923601,65.5855658
0.1229916,63.162883
0.131327489,61.4092766
0.14278759,59.3084793
0.154247692,57.5086119
0.1622224,56.4071891
0.170654927,55.3604403
0.187519982,53.581674
0.198702855,52.6022646
0.2112609,51.6665461
0.2210686,51.0440885
0.240684,50.0520035
0.261416053,49.3275689
0.2799148,48.9305585
0.301138362,48.7385979
0.3191456,48.7826511
0.338761,49.0378969
0.3583764,49.5053307
0.373313513,50.0037427
0.385460357,50.5011902
0.4074149,51.6161685
0.4270303,52.8585113
0.449812599,54.6147999
0.469427999,56.4209451
0.49176112,58.8452615
0.50941498,61.0710013
0.53099192,64.2118964
0.53883808,65.4811564
0.5545304,68.2455685
0.573705435,72.0782595
0.58591504,74.8130533
0.5937612,76.7047919
0.60945352,80.8370623
0.61729968,83.0943081
0.632992,88.0391143
0.64083816,90.7488574
0.6526074,95.1458389
0.66045356,98.3199586
0.6722228,103.486713
0.68006896,107.229117
0.6918382,113.34358
0.703484606,120.059873
0.7114536,125.086111
0.71929976,130.416184
0.731069,139.206411
0.74283824,149.087682
0.75460748,160.243906
0.76245364,168.498591
0.76637672,172.899619
0.77422288,182.30372
0.77814596,187.331151
0.78599212,198.104818
0.7899152,203.88151
0.79776136,216.300105
0.80168444,222.980465
0.8095306,237.391843
0.81345368,245.171946
0.82129984,262.020314
0.829146,280.802432
0.83503062,296.338454
0.84091524,313.281663
0.84483832,325.443134
0.8487614,338.36384
0.85464602,359.309305
0.8585691,374.421004
0.86249218,390.545477
0.8683768,416.832691
0.87229988,435.909378
0.87622296,456.364583
0.88014604,478.331326
0.88406912,501.958607
0.8879922,527.413674
0.89191528,554.884668
0.89583836,584.583694
0.89976144,616.750402
0.90368452,651.65617
0.9076076,689.608981
0.91153068,730.959137
0.91545376,776.105932
0.91937684,825.505452
0.92133838,851.960251
0.92526146,908.74102
0.92918454,971.226655
0.93114608,1004.83491
0.93506916,1077.29331
0.93899224,1157.51143
0.94193455,1223.39102
0.94487686,1294.71913
0.9468384,1345.56882
0.94978071,1427.23587
0.95272302,1515.96105
0.95566533,1612.46704
0.95860764,1717.5477
0.96154995,1832.07017
0.96449226,1956.9742
0.96743457,2093.26739
0.97037688,2242.01421
0.97331919,2404.31589
0.9762615,2581.27758
0.97822304,2707.92319
0.98018458,2841.84492
0.98214612,2983.29417
0.98508843,3209.99832
0.987638432,3420.80149
0.98999228,3627.1175
0.992346128,3844.28455
0.994699976,4071.49858
0.998623056,4468.70522
1.00725383,5369.53205
1.00960768,5601.59841
1.01196153,5817.52855
1.01431538,6011.0043
1.01588461,6124.35442
1.01745384,6223.06788
1.01902307,6305.46739
1.0205923,6370.07871
1.02216154,6415.69197
1.02373077,6441.41519
1.02537846,6446.44001
1.02686923,6431.4445
1.02843846,6395.84661
1.03079231,6305.80352
1.03236154,6222.88738
1.03393078,6123.281
1.03550001,6008.63068
1.03706924,5880.74135
1.03942309,5668.24635
1.04256155,5356.40557
1.05197694,4352.93144
1.05668464,3873.32069
1.0598231,3574.94723
1.06296157,3296.53756
1.0645308,3165.14174
1.06649234,3008.27046
1.06943465,2788.1342
1.07237696,2585.626
1.07531927,2399.83633
1.07826158,2229.68786
1.08022312,2124.37644
1.08316543,1977.72434
1.08512697,1887.00139
1.08708851,1801.52757
1.08905005,1720.98455
1.09101159,1645.06783
1.09297907,1573.2774
1.09591544,1473.65335
1.09787698,1411.74925
1.09983852,1353.28972
1.10180006,1298.05385
1.1037616,1245.835
1.10572314,1196.44011
1.10768468,1149.68898
1.10964622,1105.41362
1.11160776,1063.45746
1.1135693,1023.6747
1.11749238,950.095521
1.12141546,883.698351
1.123377,852.92356
1.12730008,795.745878
1.13122316,743.836853
1.13514624,696.601071
1.13710778,674.570964
1.14103086,633.394255
1.1429924,614.142156
1.14691548,578.071833
1.14887702,561.167201
1.1528001,529.423058
1.15476164,514.512421
1.15868472,486.452325
1.16064626,473.244019
1.16456934,448.336782
1.16653088,436.588916
1.17045396,414.392886
1.17633858,384.049947
1.18026166,365.582144
1.18614628,340.214432
1.19006936,324.702767
1.19595398,303.302214
1.19987706,290.160737
1.20380014,277.835002
1.20772322,266.260318
1.21360784,250.180015
1.21753092,240.238772
1.221454,230.866489
1.22537708,222.021407
1.22930016,213.665469
1.23322324,205.763938
1.2410694,191.19977
1.24891556,178.105553
1.25676172,166.293124
1.26460788,155.603137
1.26853096,150.635871
1.27637712,141.38155
1.28422328,132.94644
1.2901079,127.101613
1.29599252,121.631067
1.30383868,114.866457
1.30776176,111.692739
1.31560792,105.726051
1.319531,102.919912
1.32737716,97.6322081
1.33130024,95.139817
1.34306948,88.2102946
1.35493815,81.964031
1.36663282,76.440222
1.3783772,71.4412825
1.38622336,68.3731587
1.3979926,64.133997
1.40583876,61.5270202
1.417608,57.9108046
1.42545416,55.6784747
1.4372234,52.5709146
1.44506956,50.6459962
1.45291572,48.8285639
1.46076188,47.1109441
1.47253112,44.7065083
1.48037728,43.2090769
1.4960696,40.4424632
1.51176192,37.9479041
1.52745424,35.69188
1.54118502,33.89101
1.55883888,31.7855175
1.5745312,30.0898737
1.5941466,28.1746883
1.613762,26.4588092
1.6235697,25.6675634
1.6431851,24.2045957
1.6529928,23.5279794
1.66633746,22.6609742
1.68595286,21.4893109
1.7020313,20.6115633
1.711839,20.109573
1.7314544,19.1752925
1.7412621,18.7405585
1.7608775,17.9304199
1.7706852,17.5530457
1.8001083,16.5212428
1.8295314,15.6242333
1.8491468,15.092566
1.8785699,14.3839377
1.907993,13.7713581
1.9374161,13.2449391
1.9570315,12.9378373
1.9864546,12.5380229
2.00607,12.3096796
2.034915,12.0262724
2.06339444,11.8048835
2.0837608,11.6809299
2.1131839,11.5513389
2.142607,11.4797187
2.1622224,11.4643172
2.1916455,11.4906573
2.2112609,11.5421218
2.240684,11.6725454
2.2602994,11.7968487
2.2897225,12.0434927
2.3093379,12.2511112
2.3289533,12.4962665
2.3485687,12.7820517
2.3779918,13.2950722
2.3976072,13.6998638
2.4172226,14.1611815
2.436838,14.6855336
2.4564534,15.2806269
2.4662611,15.6074982
2.48391496,16.2503651
2.49764574,16.8034905
2.50941498,17.3184494
2.51922268,17.77891
2.53099192,18.3722602
2.53883808,18.7944489
2.5545304,19.7088403
2.56237656,20.2040818
2.57577286,21.1144642
2.5937612,22.4806625
2.60160736,23.1343807
2.61729968,24.561124
2.62514584,25.3402364
2.64083816,27.0474813
2.6526074,28.4744694
2.66437664,30.04496
2.67614588,31.7779624
2.68791512,33.6957674
2.69968436,35.8246458
2.7114536,38.1957276
2.72322284,40.8461142
2.73499208,43.8202984
2.74676132,47.1719905
2.75460748,49.6478606
2.76245364,52.3430565
2.76637672,53.7809462
2.77422288,56.855519
2.78206904,60.2227264
2.7899152,63.9202949
2.79776136,67.9921834
2.80560752,72.4898458
2.81345368,77.4737988
2.82129984,83.015579
2.82522292,86.0216159
2.829146,89.2002043
2.83306908,92.5645882
2.83699216,96.1292885
2.84091524,99.9102505
2.84483832,103.925012
2.8487614,108.192895
2.85268448,112.73522
2.85660756,117.57556
2.86053064,122.74002
2.86445372,128.257562
2.87033834,137.267323
2.87426142,143.816578
2.88014604,154.560488
2.88406912,162.407575
2.88995374,175.345917
2.89387682,184.845275
2.89583836,189.884732
2.89976144,200.595258
2.90368452,212.225393
2.90564606,218.417265
2.90956914,231.626131
2.91153068,238.674662
2.91545376,253.747019
2.9174153,261.809344
2.92133838,279.092863
2.92329992,288.361269
2.927223,308.282326
2.92918454,318.993099
2.93310762,342.076593
2.93506916,354.521069
2.93899224,381.414982
2.94193455,403.515964
2.94389609,419.261692
2.94585763,435.880098
2.94879994,462.573372
2.95076148,481.639152
2.95272302,501.801499
2.95468456,523.134542
2.9566461,545.71727
2.95860764,569.633649
2.96056918,594.972692
2.96253072,621.828421
2.96449226,650.299727
2.9664538,680.49006
2.96841534,712.506919
2.97037688,746.461084
2.97233842,782.465505
2.97429996,820.633784
2.97724227,882.187856
2.98018458,949.22
2.98312689,1022.03858
2.9860692,1100.86303
2.98920766,1191.64562
2.99156151,1264.18113
2.99469998,1366.41845
2.99862306,1501.64715
3.00725383,1809.452
3.0103923,1914.57915
3.01274614,1986.66146
3.01431538,2030.29592
3.01588461,2069.64171
3.01745384,2104.0783
3.01902307,2133.03064
3.0205923,2155.99118
3.02216154,2172.54089
3.02373077,2182.36755
3.02514308,2185.30272
3.02686923,2181.21736
3.02843846,2170.25155
3.0300077,2152.58441
3.03157693,2128.53817
3.03314616,2098.54089
3.03471539,2063.10797
3.03628462,2022.82098
3.03785386,1978.30551
3.0402077,1905.0221
3.04334617,1798.5267
3.05197694,1488.26999
3.05511541,1379.01294
3.05825387,1275.00034
3.0598231,1225.31826
3.06296157,1131.01126
3.06551157,1059.51868
3.06845388,982.767099
3.07041542,934.949385
