energy [eV],cross section [b]
1e-05,5185.6876
1.08833751e-05,4970.77631
1.20612086e-05,4721.828
1.27194899e-05,4598.01605
1.34471358e-05,4471.88022
1.45386047e-05,4300.74096
1.57157782e-05,4136.53081
1.70643607e-05,3969.70918
1.84129433e-05,3821.56798
1.99733133e-05,3669.25214
2.10841558e-05,3571.28154
2.27504196e-05,3438.00788
2.46783608e-05,3300.9785
2.60508808e-05,3212.84024
2.87959207e-05,3055.8626
3.04917607e-05,2969.66474
3.21876007e-05,2890.37196
3.55792807e-05,2749.14842
3.87222658e-05,2635.20988
4.29129126e-05,2503.2258
4.65494861e-05,2403.45068
5.04328539e-05,2309.05583
5.43162216e-05,2224.97419
5.75149948e-05,2162.2107
6.23131547e-05,2077.28885
6.71113145e-05,2001.64515
7.10636122e-05,1945.18021
7.50159098e-05,1893.23844
7.89682075e-05,1845.24647
8.29205052e-05,1800.72782
8.78038325e-05,1749.92921
9.26871599e-05,1703.19981
9.75704873e-05,1660.02383
0.000102453815,1619.97259
0.000108487491,1574.27153
0.000117538006,1512.43572
0.000126588521,1457.3556
0.000137771036,1396.94578
0.000148953551,1343.47286
0.000161014142,1292.16449
0.000170225304,1256.70779
0.000184042047,1208.60022
0.000198943712,1162.43991
0.000210324717,1130.54071
0.000233086727,1073.90057
0.000245808225,1045.73075
0.000259870216,1017.03188
0.000287994197,966.07408
0.000303712457,940.730263
0.000321086984,914.910404
0.000347148775,879.877773
0.000375256997,846.2628
0.000407458078,812.11239
0.000439659159,781.785287
0.000476917242,750.602671
0.000503441632,730.545268
0.000543228215,703.259573
0.000572876736,684.802171
0.000605649388,665.997842
0.00063842204,648.660226
0.000687581018,625.015631
0.000728073815,607.365288
0.000768566612,591.128328
0.000849552207,562.208239
0.000924599535,538.874139
0.00102466264,511.84246
0.00111149573,491.40593
0.00120422171,472.069995
0.00129694769,454.845317
0.00137332711,441.986911
0.00148789624,424.587549
0.00160246537,409.087706
0.00169683724,397.51671
0.00179120911,386.871796
0.00193276691,372.389626
0.00203825422,362.592423
0.00215485696,352.610394
0.00238806243,334.88398
0.00259043426,321.481016
0.00273450472,312.85887
0.00287857518,304.891432
0.00311164997,293.191659
0.00337866297,281.30332
