energy [eV],cross section [b]
1e-05,965.559937
1.09650909e-05,922.089598
1.19301818e-05,884.007019
1.29780638e-05,847.567498
1.378704e-05,822.32545
1.45960162e-05,799.212159
1.58094805e-05,767.927915
1.68266529e-05,744.35548
1.83524114e-05,712.742562
1.93695838e-05,693.775758
2.05176447e-05,674.086325
2.1796594e-05,654.010852
2.30755434e-05,635.628421
2.43544928e-05,618.713704
2.57980158e-05,601.154541
2.82101608e-05,574.879088
3.06223058e-05,551.772885
3.34483066e-05,527.949326
3.64812354e-05,505.527223
3.95141641e-05,485.738945
4.20564814e-05,470.828632
4.58699574e-05,450.832458
4.84122747e-05,438.835353
5.12817342e-05,426.381162
5.44783361e-05,413.682789
5.7674938e-05,402.055319
6.08715399e-05,391.356224
6.44794766e-05,380.249497
7.0508384e-05,363.629441
7.45276555e-05,353.688306
7.85469271e-05,344.520321
8.61274194e-05,329.009735
9.37079117e-05,315.421548
0.000101938703,302.419619
0.000111470092,289.201381
0.000121001482,277.57748
0.0001281734,269.699811
0.000136162976,261.66769
0.00014814734,250.860755
0.000156136917,244.358179
0.000166182671,236.857337
0.000176228425,230.007374
0.00018627418,223.719295
0.000196319934,217.920257
0.000208951039,211.23096
0.000227897697,202.259966
0.000246844355,194.342756
0.000270667078,185.593308
0.000294489801,177.928277
0.000320356178,170.593952
0.000340325299,165.513387
0.00037027898,158.677667
0.000402802264,152.136872
0.00042791059,147.605994
0.000453018915,143.457224
0.000478127241,139.639705
0.000506466475,135.676741
0.000538036618,131.636078
0.000585391833,126.19951
0.000616961976,122.928305
0.000656656934,119.154912
0.000716199372,114.094427
0.000775741809,109.628377
0.000850607944,104.692868
0.000925474078,100.369073
0.00100676267,96.2318296
0.00106951833,93.3659179
0.00116365184,89.5099365
0.0012264075,87.1897782
0.00130531382,84.5134339
0.00138422013,82.0693283
0.00146312644,79.8257069
0.00154203275,77.7565793
0.0016412462,75.3698039
0.00174045965,73.1901401
0.0018396731,71.1892694
0.00200125994,68.2548651
0.00218838012,65.2716456
0.00237550029,62.6482547
0.00259472499,59.9434219
0.00283000195,57.397709
0.00306527892,55.1510333
0.0032624971,53.4581833
0.00345971528,51.9122309
0.00375554255,49.8258187
0.00397813853,48.4118328
0.0042261123,46.9701261
0.00447408608,45.6500064
0.00472205985,44.4352915
0.00500194259,43.1742988
0.00531373429,41.8885851
0.00578142184,40.1587075
0.00628923036,38.5034705
0.00687728084,36.8207023
0.00746533132,35.3409098
0.00815427463,33.8151824
0.00864720111,32.8373535
0.00938659083,31.5176824
0.0102528389,30.1570485
0.0108726238,29.2850278
0.0114924086,28.4845401
0.0121121934,27.7463118
0.0128914846,26.894756
0.0136707758,26.1170974
0.0144500669,25.403232
0.0152293581,24.7448895
0.0166991295,23.631101
0.018168901,22.6553668
0.019764758,21.7217405
0.0216127863,20.7725934
0.0234608146,19.93794
0.0253,19.199825
0.0277865884,18.3209346
0.0290298826,17.9244754
0.0312470557,17.2771226
0.0331948135,16.7628126
0.0361164502,16.0708384
0.038064208,15.6544821
0.040513236,15.1742149
0.042962264,14.7356302
0.045411292,14.3330283
0.0493999719,13.7426
0.0540189277,13.1423674
0.0586378835,12.6145501
0.0640493215,12.0703657
0.0698570006,11.5582144
0.0756646796,11.106242
0.0805328991,10.7656974
0.0854011186,10.4547141
0.0927034478,10.0350295
0.10125865,9.60233996
0.107379743,9.32504551
0.113500835,9.07050793
0.119621928,8.83577677
0.131166531,8.43867867
0.138862933,8.20194191
0.146559335,7.98411906
0.160084666,7.64013215
0.17460036,7.31641344
0.189116054,7.0307504
0.207367472,6.71509625
0.219535084,6.52692138
0.237786501,6.27225116
0.25308554,6.08038247
0.276034099,5.82310331
0.298982657,5.59608331
0.318219019,5.42505173
0.337455382,5.26888305
0.356691744,5.12554445
0.375928106,4.99337217
0.400115092,4.84093299
0.436395571,4.63654196
0.472676049,4.45620756
0.518293584,4.25697617
0.563911118,4.08249602
0.613441991,3.91560193
0.651680359,3.80003005
0.709037911,3.64458651
0.77131593,3.49591511
0.819395232,3.39297109
0.867474533,3.29874236
0.939593485,3.17125873
1.00004636,3.07524845
1.06049923,2.98760902
1.12095211,2.90719487
1.18140498,2.83306847
1.2954213,2.70774154
1.37143217,2.63307476
1.44744305,2.56440934
1.58102134,2.45605034
1.72438062,2.35417403
1.8677399,2.26436432
1.98790915,2.19676295
2.16816302,2.1062088
2.3484169,2.02640524
2.49951261,1.96635329
2.65060833,1.91157862
2.8772519,1.83776663
3.04779043,1.7878245
3.23777177,1.73697841
3.42775311,1.69049357
3.61773445,1.64778806
3.9515996,1.58048979
4.30991131,1.51733759
4.76167851,1.44835419
5.10875689,1.40186061
5.61600266,1.34205885
6.05844962,1.29635454
6.62492182,1.24490627
7.19139403,1.19991078
7.61763747,1.16956709
8.09247621,1.13876916
8.80473433,1.09758448
9.27957307,1.0729609
9.87661516,1.04472291
10.4736573,1.01910786
11.0706993,0.99575578
11.6677414,0.974372314
12.4184368,0.949908525
13.1691322,0.927779346
13.9198276,0.907664964
15.26168,0.875936331
16.8538865,0.844010255
18.4460931,0.816999667
20.2263087,0.791410286
22.0065243,0.769729033
23.8120575,0.750979482
25.668226,0.73450834
27.4152705,0.721183234
29.1623149,0.709656876
30.8904292,0.699787031
34.3466577,0.683892901
37.8470383,0.672103344
40.2062002,0.666187463
42.5653621,0.661688162
46.481318,0.656970787
51.684591,0.65531395
56.887864,0.658242685
62.091137,0.665306679
67.29441,0.676272671
72.888195,0.69233683
79.0017742,0.715066081
84.2050472,0.738904037
88.9922574,0.764782189
94.6115932,0.800479844
99.8148662,0.839288089
102.416503,0.861009955
106.318957,0.896813656
108.920594,0.923027658
111.52223,0.951298322
114.123867,0.981802901
116.725504,1.01474152
119.32714,1.05034047
121.928776,1.08885617
125.180822,1.14154979
128.432868,1.1999178
130.384095,1.23798052
132.985732,1.29267565
134.936959,1.3369376
137.538595,1.40074335
139.489823,1.45255354
142.091459,1.52751677
144.888393,1.6165309
146.644323,1.6774219
148.595551,1.75013529
151.197187,1.85631156
153.798824,1.97446905
156.40046,2.10646496
158.351687,2.21587166
159.652506,2.29437021
160.953324,2.37774691
162.254142,2.46641406
163.55496,2.56082881
164.855779,2.6614991
166.156597,2.76899066
168.107824,2.94441973
169.408643,3.07189518
170.709461,3.20875632
172.010279,3.35595076
173.311097,3.51454939
174.611916,3.68576611
175.912734,3.87098142
177.213552,4.07177068
178.51437,4.28993804
179.815189,4.52755756
181.116007,4.78702318
181.971467,4.9708854
182.724401,5.14222203
183.272285,5.27289271
184.368052,5.55061925
185.668871,5.91162647
186.31928,6.10626797
187.294894,6.41780661
188.595712,6.87382786
189.246121,7.12123775
190.221735,7.51944506
190.872144,7.80465442
191.522553,8.10714801
192.172962,8.42835538
193.148576,8.94875815
193.798985,9.32404356
194.774598,9.93462778
195.425008,10.3768797
196.400621,11.0998011
197.376235,11.903659
198.156726,12.6133822
198.937217,13.3904688
199.457544,13.9502416
199.977871,14.5468009
200.758362,15.5179235
201.27869,16.2217006
201.799017,16.9755587
202.319344,17.7843583
202.839672,18.6535616
203.359999,19.5893241
203.880326,20.5986016
204.400654,21.6892784
204.920981,22.8703182
205.441308,24.1519458
205.961635,25.5458643
206.481963,27.0655166
207.00229,28.7264028
207.522617,30.5464658
208.042945,32.5465634
208.563272,34.7510488
208.823436,35.9386764
209.213681,37.8380666
209.734008,40.6147539
209.994172,42.1193118
210.384417,44.5379075
210.644581,46.26781
211.034827,49.0575094
211.29499,51.0593909
211.685236,54.2988836
211.945399,56.63184
212.335645,60.421358
212.72589,64.6006093
213.116136,69.2237186
213.506381,74.3542757
213.896627,80.0673229
214.286872,86.4518233
214.416954,88.7469576
214.677118,93.6137406
214.8072,96.1950374
215.067363,101.679895
215.327527,107.633771
215.58769,114.109414
215.717772,117.561326
215.977936,124.934617
216.2381,132.995651
216.498263,141.827804
216.758427,151.526506
217.018591,162.201153
217.278754,173.977302
217.538918,186.99918
217.799082,201.432497
217.929163,209.236862
218.059245,217.467545
218.189327,226.152716
218.319409,235.322497
218.449491,245.009065
218.579572,255.246743
218.709654,266.072082
218.839736,277.523925
218.969818,289.643442
219.164941,309.170388
219.295023,323.15436
219.490145,345.701689
219.685268,370.288738
219.880391,397.094177
220.075513,426.297642
220.270636,458.071945
220.465759,492.571666
220.595841,517.147021
220.725923,543.011116
220.921045,584.236666
221.181209,643.619623
221.441373,707.537085
222.221864,910.762442
222.416986,957.868301
222.547068,986.657392
222.742191,1024.43917
222.872273,1045.18051
222.976338,1058.79002
223.080404,1069.49383
223.184469,1077.10244
223.288535,1081.47687
223.3926,1082.53485
223.496665,1080.25456
223.600731,1074.67568
223.704796,1065.89757
223.808862,1054.07488
223.912927,1039.41081
224.043009,1017.45861
224.238132,978.114905
224.368214,948.465483
224.563336,900.341315
225.083664,763.107457
225.343827,695.731039
225.603991,631.989193
225.734073,601.839496
225.929196,558.98339
226.124318,519.062907
226.319441,482.079811
226.449523,459.019972
226.579605,437.194742
226.709687,416.559711
226.904809,387.729946
227.034891,369.848225
227.164973,352.973787
227.360096,329.432434
227.490177,314.84109
227.620259,301.072235
227.815382,281.854307
228.010505,264.220657
228.205628,248.026759
228.40075,233.140092
228.595873,219.43985
228.828448,204.508128
228.944735,197.563337
229.088611,189.414157
229.246282,181.00957
229.506446,168.239855
229.636528,162.324588
229.896691,151.341045
230.026773,146.239569
230.286937,136.742397
230.5471,128.097853
230.677182,124.0654
230.937346,116.527017
231.197509,109.627675
231.457673,103.300024
231.717837,97.4849663
231.978,92.1305347
232.238164,87.1909359
232.498328,82.6257288
232.758491,78.3991218
233.018655,74.4793686
233.408901,69.1142172
233.669064,65.8447829
233.929228,62.7961027
234.319473,58.5959899
234.579637,56.020311
234.839801,53.6069636
235.230046,50.2630138
235.49021,48.2009311
235.750373,46.2605885
236.140619,43.5583674
236.530864,41.0817802
236.92111,38.8067584
237.441437,36.0510563
237.701601,34.7800942
238.221928,32.4285754
238.482092,31.3397901
239.002419,29.3179857
239.262583,28.3785286
239.78291,26.6282016
240.303237,25.0326605
240.563401,24.2873546
241.083728,22.891866
241.604055,21.6116795
241.864219,21.0109347
242.384546,19.8812482
242.904874,18.839129
243.425201,17.8758352
244.205692,16.5621328
244.726019,15.7642319
245.246347,15.0219637
245.766674,14.3303161
246.287001,13.6848259
246.807328,13.0815082
247.327656,12.5167968
247.847983,11.9874926
248.36831,11.4907193
248.888638,11.0238853
249.73417,10.3231955
250.709783,9.59390319
251.685397,8.93858636
252.661011,8.34763888
253.31142,7.98538015
254.287033,7.48432646
254.937443,7.17584901
255.913056,6.74745997
256.563465,6.48269306
257.539079,6.11366283
258.189488,5.88477858
258.839897,5.66844497
259.490306,5.46376825
260.46592,5.17684435
261.116329,4.99789116
262.417147,4.66665951
263.717966,4.3672296
265.018784,4.09568951
266.319602,3.84870865
267.62042,3.62343735
268.921239,3.41742605
270.222057,3.2285599
271.522875,3.05500549
272.173284,2.97346328
273.474103,2.81994889
274.774921,2.67812591
276.726148,2.48484498
278.026967,2.36753222
279.327785,2.25845775
281.279012,2.10868644
283.230239,1.97361594
285.181467,1.85140661
