energy [eV],cross section [b]
1e-05,3008.34868
1.05829434e-05,2924.31645
1.14573585e-05,2810.50591
1.23317736e-05,2709.02574
1.30506462e-05,2633.3537
1.37695188e-05,2563.68772
1.48478277e-05,2468.83461
1.56505127e-05,2404.68609
1.65370102e-05,2339.33984
1.8310005e-05,2223.1863
1.9299858e-05,2165.41963
2.03930665e-05,2106.57437
2.25794836e-05,2001.97631
2.44742079e-05,1922.9136
2.6496388e-05,1848.07159
2.8518568e-05,1781.33788
3.10122747e-05,1708.20868
3.35059814e-05,1643.40324
3.61935133e-05,1581.2019
3.82436351e-05,1538.22945
4.02937568e-05,1498.57965
4.33689394e-05,1444.46266
4.58971031e-05,1404.10836
4.96893487e-05,1349.4535
5.50404313e-05,1282.16365
5.97169427e-05,1230.92345
6.59522912e-05,1171.27486
7.17192591e-05,1123.18233
7.74862271e-05,1080.56351
8.37014371e-05,1039.65694
9.08131314e-05,998.102809
9.79248257e-05,961.161328
0.000103218717,936.17776
0.000109065371,910.727451
0.000117835351,876.164285
0.000127286985,842.989497
0.000134496946,820.070045
0.000148916868,779.329664
0.000156967429,759.06779
0.000165858589,738.427254
0.00017919533,710.395835
0.00018808649,693.387991
0.000199050868,674.003939
0.000215497435,647.75005
0.000231944002,624.33973
0.000252225536,598.684946
0.000272507069,575.949361
0.000294365001,554.126473
0.00031103882,539.049337
0.000336049549,518.573005
0.000352723367,506.148883
0.000373285143,491.988687
0.000393846919,478.951808
0.000424689583,461.200593
0.000447648629,449.194876
0.000473004946,436.964372
0.000523717579,415.222809
0.000567664573,398.787337
0.000598933409,388.210915
0.000630202244,378.431085
0.00068075109,364.069035
0.00073859112,349.478124
0.00079643115,336.505425
0.000863262504,323.16942
0.000910813848,314.587182
0.000982140864,302.90064
0.00103523616,294.99606
0.0010938754,286.942939
0.00118183426,276.004745
0.0012404735,269.367197
0.00131278608,261.80141
0.00138509867,254.835054
0.00145741125,248.392838
0.00157431095,238.931158
0.00170807232,229.3173
0.0018864208,218.12232
0.00205137228,209.093084
0.00221632377,201.088884
0.00239409623,193.403651
0.00252970586,188.092542
0.00266531548,183.190758
0.00286872992,176.498193
0.00303596063,171.5058
0.00328680671,164.741469
0.00364076535,156.408507
0.00384699049,152.090633
0.00405321562,148.105042
0.00448970941,140.589402
0.00487117766,134.861962
0.005379802,128.189236
0.00585022001,122.80448
0.00632063802,118.028606
0.00682761964,113.440704
0.00740772848,108.77585
0.00798783732,104.624778
0.00841966596,101.815059
0.00889658402,98.9507543
0.00961196111,95.0572033
0.0100888792,92.6926486
0.0106770037,89.9955907
0.0112651283,87.5103964
0.0118532528,85.2105424
0.0128040083,81.8297072
0.0138919012,78.3905337
0.0153424249,74.3803
0.0166839897,71.1412723
0.0180255545,68.2662752
0.0194713935,65.5024068
0.0211257809,62.6901076
0.0222287058,60.9898759
0.023823723,58.7402132
0.0253,56.8478793
0.0270360194,54.8212357
0.0296106622,52.1458369
0.0312879092,50.5810538
0.0329651563,49.1356129
0.0346424033,47.7950309
0.0365151983,46.4072462
0.0396177129,44.3258546
0.0416860559,43.0677412
0.0437543989,41.8989038
0.0475803497,39.939174
0.0514063004,38.200487
0.0551165271,36.689035
0.0588417074,35.3168004
0.0614072948,34.4449025
0.0665384697,32.8545081
0.0704172859,31.7694083
0.0762355101,30.3000971
0.0801143263,29.4112038
0.0844453686,28.4925174
0.091620271,27.1180143
0.0964035393,26.2894329
0.101186808,25.5213902
0.110107704,24.2280488
0.1190286,23.0869854
0.128418302,22.0212491
0.139329365,20.92652
0.150240429,19.9593693
0.160853357,19.120389
0.167829265,18.6158372
0.18178108,17.7021764
0.189758188,17.2296958
0.200820016,16.6263626
0.211881844,16.076142
0.222943673,15.5724341
0.234005501,15.1097339
0.24453356,14.7032063
0.255542741,14.3096515
0.266551923,13.9450697
0.277561104,13.606589
0.293249224,13.1645147
0.30728604,12.8046497
0.319429116,12.5175551
0.343715268,12.002529
0.362948432,11.6435041
0.38572664,11.2662085
0.41710288,10.8192514
0.438836453,10.5521383
0.467189966,10.2486469
0.49554348,9.98978233
0.529758254,9.72906722
0.55829596,9.54968568
0.5896722,9.38802678
0.62104844,9.26010854
0.64419931,9.18566812
0.67557555,9.11001387
0.71517716,9.05354854
0.7465534,9.03821611
0.79361776,9.06223874
0.822961134,9.10539229
0.87205836,9.2263802
0.91912272,9.4016038
0.95049896,9.55246285
0.99756332,9.83388952
1.02893956,10.0614684
1.07600392,10.4699486
1.10738016,10.7923712
1.1387564,11.1602052
1.15444452,11.3628768
1.18582076,11.8098128
1.217197,12.3186697
1.25149872,12.9567844
1.27994948,13.5612217
1.2956376,13.9276773
1.32701384,14.7412433
1.34270196,15.1932069
1.35839008,15.6790242
1.3740782,16.2019355
1.38976632,16.765598
1.40545444,17.3741513
1.42114256,18.0322958
1.43683068,18.7453855
1.46036286,19.9316714
1.47605098,20.8109121
1.4917391,21.7708251
1.50742722,22.8214794
1.51527128,23.384424
1.5309594,24.5937716
1.54807383,26.0549541
1.56233564,27.4016587
1.57959257,29.2119643
1.58900544,30.2937512
1.5968495,31.251818
1.61253762,33.3394905
1.61881287,34.2451633
1.63136337,36.1924231
1.63763862,37.2401726
1.65018911,39.5013654
1.65646436,40.7227342
1.66901486,43.3696121
1.6752901,44.80545
1.6878406,47.9315859
1.69725347,50.5260759
1.70666634,53.3647906
1.71607922,56.4795342
1.72549209,59.9074637
1.73490496,63.6922039
1.74431783,67.8852418
1.7537307,72.5476828
1.76314358,77.7524792
1.77255645,83.5872821
1.7788317,87.8786229
1.78510694,92.5335168
1.78981338,96.2884489
1.79451982,100.291593
1.80079506,106.054185
1.80707031,112.358193
1.81334556,119.2734
