energy [eV],cross section [b]
1e-05,2955.5
0.0001,934.55
0.001,295.55
0.01,93.455
0.1,29.555
0.2,20.898
1.0,459.51
10.0,141.09
100.0,40.702
1000.0,10.573
2000.0,6.9119
5000.0,3.9745
10000.0,2.7043
20000.0,1.9521
50000.0,1.3924
100000.0,1.0879
200000.0,0.7483
400000.0,0.50811
600000.0,0.3948
800000.0,0.29956
1000000.0,0.25135
1200000.0,0.22104
1400000.0,0.19916
1600000.0,0.18211
1800000.0,0.16852
2000000.0,0.15746
2200000.0,0.1486
2400000.0,0.1411
2600000.0,0.13444
2800000.0,0.12897
3000000.0,0.12351
3200000.0,0.11799
3400000.0,0.11261
3600000.0,0.10666
3800000.0,0.10052
4000000.0,0.094174
4200000.0,0.087464
4400000.0,0.080996
4600000.0,0.074327
4800000.0,0.068214
5000000.0,0.062038
5200000.0,0.056541
5400000.0,0.051141
5600000.0,0.046249
5800000.0,0.04178
6000000.0,0.03755
6200000.0,0.03392
6400000.0,0.030331
6600000.0,0.027243
6800000.0,0.024439
7000000.0,0.021853
7200000.0,0.019698
7400000.0,0.017657
7600000.0,0.015884
7800000.0,0.014355
8000000.0,0.012955
8200000.0,0.011753
8400000.0,0.010692
8600000.0,0.0097657
8800000.0,0.008922
9000000.0,0.0081944
9200000.0,0.0075872
9400000.0,0.0069921
9600000.0,0.0064915
9800000.0,0.0060571
10000000.0,0.0056494
10200000.0,0.0053136
10400000.0,0.0049731
10600000.0,0.0046991
10800000.0,0.0044431
11000000.0,0.0041992
11200000.0,0.0040029
11400000.0,0.0037958
11600000.0,0.0036202
11800000.0,0.0034622
12000000.0,0.003318
12200000.0,0.0031702
12400000.0,0.0030376
12600000.0,0.0029218
12800000.0,0.002816
13000000.0,0.0027167
13200000.0,0.0026077
13400000.0,0.0025087
13600000.0,0.0024214
13800000.0,0.0023416
14000000.0,0.0022619
14200000.0,0.0021711
14400000.0,0.0020885
14600000.0,0.002015
14800000.0,0.0019498
15000000.0,0.0018854
15200000.0,0.0018074
15400000.0,0.0017358
15600000.0,0.0016718
15800000.0,0.0016158
16000000.0,0.0015652
16200000.0,0.0015024
16400000.0,0.0014439
16600000.0,0.0013909
16800000.0,0.0013453
17000000.0,0.0013048
17200000.0,0.0012535
17400000.0,0.001209
17600000.0,0.0011697
17800000.0,0.0011331
18000000.0,0.0011004
18200000.0,0.0010576
18400000.0,0.0010211
18600000.0,0.00099025
18800000.0,0.00096209
19000000.0,0.00093878
19200000.0,0.00090595
19400000.0,0.00087598
19600000.0,0.00085131
19800000.0,0.00082884
20000000.0,0.00080937
