energy [eV],cross section [b]
1e-05,70.42
1.06352128e-05,68.2846153
1.12833344e-05,66.2944502
1.19441172e-05,64.4345526
1.26173188e-05,62.6920186
1.33027504e-05,61.0555319
1.40001637e-05,59.5153693
1.54301426e-05,56.6905439
1.69061776e-05,54.1592684
1.84264962e-05,51.8769025
1.99898785e-05,49.8069859
2.15951383e-05,47.9200505
2.32432656e-05,46.1898569
2.49313142e-05,44.5987344
2.6658382e-05,43.1298711
2.84235876e-05,41.769141
3.02262758e-05,40.5044379
3.20655431e-05,39.3256195
3.39406895e-05,38.2238551
3.58510286e-05,37.191522
3.78035597e-05,36.218325
3.97903057e-05,35.3025455
4.38641728e-05,33.6232424
4.8068455e-05,32.1191757
5.23991067e-05,30.7632664
5.68534465e-05,29.5335674
6.14273205e-05,28.4127615
6.6117758e-05,27.3864096
7.09218622e-05,26.442592
7.54269099e-05,25.6407587
8.00235084e-05,24.893455
8.47099034e-05,24.1950666
8.94843744e-05,23.5407479
9.43455827e-05,22.9262499
9.92917678e-05,22.3479215
0.000109433444,21.2872043
0.00011990176,20.3367146
0.000130684143,19.47969
0.000141771941,18.7024398
0.000153156742,17.9938987
0.000164845568,17.3442139
0.000176817523,16.74675
0.00018906621,16.1951944
0.000201585376,15.6842425
0.000214370377,15.2093486
0.000227414803,14.7667042
0.00024071369,14.3529935
0.000254262171,13.9653542
0.000268109885,13.5999204
0.000282200258,13.2560467
0.000311092882,12.6254712
0.000340910434,12.0606967
0.000371624222,11.551555
0.00040321523,11.0898051
0.000435653996,10.6689443
0.000468919452,10.2835509
0.000502991054,9.92914901
0.000534941691,9.62806192
0.000567541623,9.34745064
0.00060077841,9.08520696
0.000634639847,8.83951141
0.000669116442,8.60876844
0.000704195707,8.39160707
0.000776122366,7.99330954
0.00085036561,7.63640225
0.000926836275,7.31459095
0.001005473,7.0227348
0.00108621613,6.75667882
0.00116911546,6.51272326
0.0012540228,6.28837659
0.00134089277,6.08126835
0.00142968103,5.88940677
0.00152035463,5.71108491
0.00161286813,5.5448727
0.00170718632,5.38952503
0.00180327466,5.24396711
0.00190148523,5.10674732
0.00200141678,4.97762333
0.00220632865,4.74084328
0.00241780028,4.5287714
0.00263562819,4.33758955
0.0028596775,4.16420323
0.00308973926,4.00617073
0.00332566407,3.86145615
0.00356730622,3.72837882
0.00379390609,3.61532112
0.00402511088,3.50995206
0.00426083236,3.41147999
0.00450098398,3.31922173
0.00474549841,3.23257813
0.00499428709,3.1510344
0.00550440435,3.00147434
0.00603095126,2.86745625
0.00657329546,2.74661665
0.00713100179,2.63702515
0.0077036471,2.53712158
0.00829158459,2.44551667
0.0088937632,2.36127487
0.0095098612,2.28350608
0.0101395641,2.21146238
0.0107826382,2.14450282
0.0114387611,2.08209041
0.0121076833,2.02375762
0.0127891597,1.96910087
0.0134856874,1.91757506
0.0141944205,1.86908922
0.0156476936,1.78017871
0.0171474898,1.70054607
0.0186923659,1.62875761
0.0202813653,1.56365134
0.0219130062,1.5043104
0.0235862289,1.44997031
0.0253,1.4
0.0267699277,1.3610182
0.0282672692,1.32447835
0.0297915401,1.29014821
0.0313422646,1.25782495
0.0345214549,1.19850414
0.0378014245,1.14532507
0.0411799639,1.09733368
0.0446535657,1.05378623
0.0482197613,1.01406787
0.0518761461,0.977675446
0.0556244943,0.944157781
0.0594590134,0.913204118
0.063377849,0.88451886
0.0673791868,0.857851535
0.0714616585,0.832985942
0.0756234056,0.809739517
0.0798629726,0.787952386
0.0841789309,0.767485703
0.0890697191,0.74611572
0.0940517193,0.72608443
0.104282938,0.689544764
0.114860836,0.65702485
0.125774051,0.627871872
0.137015231,0.601562796
0.148572704,0.577689907
0.160438259,0.555916138
0.172603894,0.535965662
0.185075512,0.517591142
0.197833841,0.500622218
0.21087271,0.484896842
0.224186083,0.470277706
0.237769408,0.456646287
0.251616499,0.443902502
0.265722516,0.431958708
0.280082704,0.420738789
0.296355483,0.409023677
0.312931746,0.398042442
0.346973368,0.378011249
0.382168475,0.3601837
0.418479256,0.344201918
0.45588125,0.329779175
0.494335629,0.31669196
0.533815064,0.304755492
0.574292935,0.293818559
0.615788884,0.283745573
0.658238784,0.274443139
0.701622107,0.265822424
0.745918767,0.257808154
0.791113618,0.250335355
0.837186083,0.24334916
0.884120051,0.236801523
0.931899705,0.230650718
0.986042993,0.224228446
1.04119604,0.218208488
1.09734101,0.212552579
1.15446036,0.207227306
1.27156259,0.197454171
1.39237693,0.188692894
1.51682199,0.180786287
1.64476857,0.173611823
1.77612575,0.167068202
1.91080495,0.161072531
2.04887154,0.155550479
2.19011214,0.150450847
2.33445845,0.145724936
2.48184365,0.14133148
2.63221733,0.137234861
2.78551105,0.133405001
2.94167117,0.12981556
3.10064509,0.126443663
3.28079229,0.122922948
3.46429919,0.119622782
3.84115569,0.113602854
4.2307818,0.108245181
4.63275895,0.103442213
5.04681633,0.0991077792
5.47252409,0.0951747085
5.9095797,0.091587469
6.35768846,0.0883006178
6.8170678,0.0852734062
7.28700783,0.0824777672
7.76728129,0.0798870035
8.25766581,0.0774784934
8.75799371,0.07523271
9.26803722,0.0731331649
9.78761796,0.0711654187
10.3165608,0.0693169314
10.9159521,0.0673868606
11.5265218,0.0655776966
12.7804102,0.0622775471
14.0767861,0.0593404493
15.4142567,0.0567074425
16.7919211,0.0543312883
18.2083489,0.0521751629
19.6625336,0.0502086236
21.1534947,0.0484067584
22.6819557,0.0467472287
24.2455545,0.045214648
25.843535,0.0437943808
27.4751573,0.0424740257
29.1398635,0.0412428781
30.8368958,0.0400918989
32.5656607,0.0390131725
34.3255755,0.0379998241
36.3198883,0.0369417515
38.3513946,0.0359499604
42.5233704,0.034140805
46.8367117,0.032530676
51.2867847,0.031087251
55.8705914,0.0297846336
60.5833733,0.0286026369
65.421781,0.027524572
70.3825523,0.0265367822
75.4680941,0.0256270212
80.6705477,0.0247868542
85.987397,0.024008258
91.4161804,0.0232844339
96.9550418,0.0226095138
102.601459,0.0219785423
108.353459,0.0213871801
114.209101,0.0208316584
120.844639,0.0202516187
127.603929,0.0197079147
141.485053,0.0187161284
155.836534,0.0178334491
170.642953,0.0170421577
185.894334,0.0163280575
201.574845,0.015680082
217.673343,0.0150890825
234.178972,0.0145475721
251.099742,0.0140488374
268.409504,0.0135882545
286.099887,0.0131614248
304.162701,0.0127646215
322.591769,0.0123946276
341.378702,0.0120487264
360.516929,0.0117245392
379.999996,0.0114200001
380.000004,1.27748562
400.0,1.23482869
425.0,1.18833513
462.5,1.12757523
500.0,1.07548797
525.0,1.04471689
550.0,1.01658858
575.0,0.990764054
600.0,0.966959591
650.0,0.92449746
700.0,0.887674843
750.0,0.855372682
800.0,0.826748546
850.0,0.801132679
900.0,0.778048833
975.0,0.747322481
1031.25,0.726769796
1093.75,0.706003227
1156.25,0.687112822
1250.0,0.661688658
1375.0,0.632136326
