energy [eV],cross section [b]
1e-05,195326.746
1.06224947e-05,189516.741
1.15562369e-05,181698.491
1.2489979e-05,174774.224
1.32674736e-05,169575.473
1.40449682e-05,164814.603
1.48224629e-05,160433.406
1.55999575e-05,156383.959
1.65710467e-05,151732.144
1.75421358e-05,147472.141
1.8513225e-05,143551.864
2.00907583e-05,137800.1
2.19100908e-05,131954.164
2.37294233e-05,126794.113
2.58507624e-05,121479.524
2.81231048e-05,116467.568
3.03954473e-05,112028.688
3.22875479e-05,108695.958
3.41796485e-05,105643.927
3.70177995e-05,101512.413
3.91454646e-05,98714.4688
4.15086943e-05,95862.505
4.3871924e-05,93244.1817
4.62351537e-05,90829.2451
4.88926031e-05,88325.6116
5.1844272e-05,85773.636
5.47959409e-05,83430.7208
5.77476099e-05,81269.7952
6.29100726e-05,77862.6278
6.84400151e-05,74649.4456
7.39699575e-05,71803.6366
7.85745485e-05,69666.9711
8.5481435e-05,66791.7168
9.23883215e-05,64245.1889
9.8139446e-05,62333.2194
0.00010389057,60582.2652
0.000112517257,58211.9748
0.000118984391,56606.742
0.000126167533,54970.494
0.000133350675,53468.2697
0.000140533818,52082.7151
0.000148611254,50646.2487
0.000157582984,49182.0203
0.000171040578,47205.5751
0.000185615144,45312.3429
0.000202423651,43388.0312
0.000219232159,41689.4152
0.000238830855,39939.8411
0.000252826715,38816.9345
0.000273820505,37296.7932
0.000298299236,35731.0266
0.000315780036,34726.0779
0.000333260836,33801.2252
0.000350741636,32946.36
0.00038349186,31504.9684
0.000405325342,30642.6229
0.000427158825,29847.2157
0.000451710553,29022.5427
0.000478980527,28181.8872
0.000519885488,27047.0752
0.000564185532,25959.9473
0.000615275742,24854.8664
0.000666365952,23879.2952
0.000725937065,22874.3449
0.000768478109,22229.2836
0.000832289674,21355.9348
0.000880127032,20764.3899
0.000933260706,20161.3363
0.00098639438,19607.6018
0.00103952805,19096.8023
0.00109927681,18567.1562
0.00116564066,18027.1856
0.00123200451,17531.3557
0.00129836835,17073.9532
0.00141443858,16352.5726
0.00153877104,15672.0303
0.0016631035,15069.0831
0.00181839448,14404.4084
0.00197368546,13819.5411
0.00213860639,13269.2858
0.0022986086,12792.8557
0.0023972172,12523.1944
0.00259443439,12030.5414
0.00275593657,11666.9468
0.00299818984,11177.3897
0.00315969201,10882.6112
0.00334130104,10576.8567
0.00364387486,10118.8533
0.00384559075,9843.82908
0.00404730663,9589.48401
0.00442522069,9160.31435
0.00480313476,8782.44523
0.00521241543,8420.10108
0.00568442931,8051.37506
0.00615644318,7725.48745
0.00651029592,7504.54045
0.00690332548,7279.10063
0.00749286982,6974.40699
0.00813134592,6682.0758
0.00862223902,6479.45518
0.00911313211,6293.19615
0.0096040252,6121.18796
0.010156034,5942.62509
0.0107691584,5760.34677
0.0116888451,5513.84208
0.0126848651,5277.16767
0.0138335518,5035.99564
0.0149822385,4822.53975
0.0163216056,4602.05932
0.0172780771,4460.18746
0.0187127844,4267.63205
0.0203856511,4068.64682
0.021580282,3940.55412
0.0227749129,3822.38872
0.0239695439,3712.9104
0.0253,3599.95424
0.0264594775,3508.32736
0.027618955,3422.34788
0.0293581712,3302.74789
0.0308697195,3206.84923
0.0327333387,3097.57251
0.0355287674,2949.51813
0.0386542899,2802.72365
0.04244,2646.34982
